StudentID,School,Gender,Stream,Term,Subject,CA_Score,Exam_Score,Attendance_Pct,Final_Result,CA_Trend
S001,School A,Male,Grade 10,1,English,18.1,44.2,85.9,Pass,0.0
S001,School A,Male,Grade 10,1,French,22.0,52.9,85.9,Pass,0.0
S002,School A,Male,Grade 10,1,English,14.1,33.6,79.3,Fail,0.0
S002,School A,Male,Grade 10,1,French,17.4,40.6,79.3,Pass,0.0
S003,School A,Male,Grade 10,1,English,16.2,40.8,75.5,Pass,0.0
S003,School A,Male,Grade 10,1,French,11.8,29.5,75.5,Fail,0.0
S004,School A,Male,Grade 10,1,English,16.3,44.2,84.7,Pass,0.0
S004,School A,Male,Grade 10,1,French,23.3,53.4,84.7,Pass,0.0
S005,School A,Female,Grade 10,1,French,6.4,15.2,68.5,Fail,0.0
S006,School A,Male,Grade 10,1,English,14.7,39.6,81.8,Pass,0.0
S006,School A,Male,Grade 10,1,French,25.3,57.1,81.8,Pass,0.0
S007,School A,Female,Grade 10,1,English,17.0,34.7,86.0,Fail,0.0
S007,School A,Female,Grade 10,1,French,26.5,60.0,86.0,Pass,0.0
S008,School A,Male,Grade 10,1,English,22.5,58.6,88.0,Pass,0.0
S008,School A,Male,Grade 10,1,French,24.4,59.6,88.0,Pass,0.0
S009,School A,Male,Grade 10,1,English,13.6,33.2,82.5,Fail,0.0
S009,School A,Male,Grade 10,1,French,27.5,63.8,82.5,Pass,0.0
S010,School A,Female,Grade 10,1,French,14.4,40.5,82.9,Pass,0.0
S011,School A,Male,Grade 10,1,English,16.7,40.8,91.5,Pass,0.0
S011,School A,Male,Grade 10,1,French,30.0,70.0,91.5,Pass,0.0
S012,School A,Male,Grade 10,1,English,14.9,30.4,79.3,Fail,0.0
S012,School A,Male,Grade 10,1,French,17.8,39.4,79.3,Pass,0.0
S013,School A,Female,Grade 10,1,English,9.2,19.9,80.4,Fail,0.0
S013,School A,Female,Grade 10,1,French,20.2,46.7,80.4,Pass,0.0
S014,School A,Male,Grade 10,1,English,23.0,53.2,87.8,Pass,0.0
S014,School A,Male,Grade 10,1,French,24.0,56.6,87.8,Pass,0.0
S015,School A,Male,Grade 10,1,English,16.0,44.0,83.1,Pass,0.0
S015,School A,Male,Grade 10,1,French,18.2,40.3,83.1,Pass,0.0
S016,School A,Female,Grade 10,1,English,15.0,34.6,81.9,Fail,0.0
S016,School A,Female,Grade 10,1,French,23.7,58.8,81.9,Pass,0.0
S017,School A,Female,Grade 10,1,English,21.5,54.0,91.4,Pass,0.0
S017,School A,Female,Grade 10,1,French,25.7,61.8,91.4,Pass,0.0
S018,School A,Female,Grade 10,1,English,11.2,34.3,82.0,Fail,0.0
S018,School A,Female,Grade 10,1,French,26.6,59.1,82.0,Pass,0.0
S019,School A,Male,Grade 10,1,English,13.5,30.1,83.1,Fail,0.0
S019,School A,Male,Grade 10,1,French,26.9,64.0,83.1,Pass,0.0
S020,School A,Female,Grade 10,1,English,10.8,21.0,71.7,Fail,0.0
S020,School A,Female,Grade 10,1,French,11.5,24.9,71.7,Fail,0.0
S021,School A,Male,Grade 10,1,English,23.3,54.0,79.2,Pass,0.0
S021,School A,Male,Grade 10,1,French,15.0,37.6,79.2,Pass,0.0
S022,School A,Female,Grade 10,1,English,20.6,50.9,95.9,Pass,0.0
S022,School A,Female,Grade 10,1,French,24.4,62.0,95.9,Pass,0.0
S023,School A,Female,Grade 10,1,English,14.4,34.4,78.1,Pass,0.0
S023,School A,Female,Grade 10,1,French,24.0,56.5,78.1,Pass,0.0
S024,School A,Female,Grade 10,1,English,19.6,37.6,75.3,Pass,0.0
S024,School A,Female,Grade 10,1,French,22.0,43.7,75.3,Pass,0.0
S025,School A,Male,Grade 10,1,English,21.1,54.2,92.6,Pass,0.0
S025,School A,Male,Grade 10,1,French,25.5,55.8,92.6,Pass,0.0
S026,School A,Female,Grade 10,1,English,24.9,53.9,94.3,Pass,0.0
S026,School A,Female,Grade 10,1,French,26.8,64.6,94.3,Pass,0.0
S027,School A,Female,Grade 10,1,English,18.0,40.2,87.1,Pass,0.0
S027,School A,Female,Grade 10,1,French,22.8,59.5,87.1,Pass,0.0
S028,School A,Female,Grade 10,1,English,16.5,44.8,90.1,Pass,0.0
S028,School A,Female,Grade 10,1,French,29.3,65.3,90.1,Pass,0.0
S029,School A,Female,Grade 10,1,English,16.4,42.2,85.6,Pass,0.0
S029,School A,Female,Grade 10,1,French,26.5,61.0,85.6,Pass,0.0
S030,School A,Female,Grade 10,1,English,25.3,59.3,89.4,Pass,0.0
S030,School A,Female,Grade 10,1,French,26.9,67.2,89.4,Pass,0.0
S031,School A,Female,Grade 10,1,French,5.4,17.2,63.7,Fail,0.0
S032,School A,Male,Grade 10,1,English,18.4,39.3,82.5,Pass,0.0
S032,School A,Male,Grade 10,1,French,24.3,60.1,82.5,Pass,0.0
S033,School A,Male,Grade 10,1,English,17.0,39.5,83.9,Pass,0.0
S033,School A,Male,Grade 10,1,French,17.9,41.6,83.9,Pass,0.0
S034,School A,Female,Grade 10,1,English,22.3,45.7,72.7,Pass,0.0
S034,School A,Female,Grade 10,1,French,5.5,12.2,72.7,Fail,0.0
S035,School A,Male,Grade 10,1,English,9.6,23.0,66.4,Fail,0.0
S035,School A,Male,Grade 10,1,French,10.5,25.4,66.4,Fail,0.0
S036,School A,Female,Grade 10,1,English,13.7,30.9,82.5,Fail,0.0
S036,School A,Female,Grade 10,1,French,29.1,66.4,82.5,Pass,0.0
S037,School A,Male,Grade 10,1,English,17.4,45.5,74.3,Pass,0.0
S037,School A,Male,Grade 10,1,French,6.0,10.0,74.3,Fail,0.0
S038,School A,Male,Grade 10,1,English,7.4,19.9,68.7,Fail,0.0
S038,School A,Male,Grade 10,1,French,15.2,34.4,68.7,Fail,0.0
S039,School A,Male,Grade 10,1,English,16.8,36.6,74.8,Pass,0.0
S039,School A,Male,Grade 10,1,French,20.0,41.1,74.8,Pass,0.0
S040,School A,Male,Grade 10,1,English,19.8,41.6,79.7,Pass,0.0
S040,School A,Male,Grade 10,1,French,15.0,36.0,79.7,Pass,0.0
S041,School A,Male,Grade 10,1,English,19.4,41.9,76.6,Pass,0.0
S041,School A,Male,Grade 10,1,French,13.0,24.2,76.6,Fail,0.0
S042,School A,Female,Grade 10,1,English,16.4,44.1,77.5,Pass,0.0
S042,School A,Female,Grade 10,1,French,15.8,41.8,77.5,Pass,0.0
S043,School A,Male,Grade 10,1,English,21.2,43.6,82.5,Pass,0.0
S043,School A,Male,Grade 10,1,French,24.8,52.3,82.5,Pass,0.0
S044,School A,Male,Grade 10,1,English,17.4,35.7,79.4,Pass,0.0
S044,School A,Male,Grade 10,1,French,15.4,42.3,79.4,Pass,0.0
S045,School A,Female,Grade 10,1,French,27.2,62.5,86.2,Pass,0.0
S046,School A,Male,Grade 10,1,English,18.5,46.6,78.6,Pass,0.0
S046,School A,Male,Grade 10,1,French,21.5,49.0,78.6,Pass,0.0
S047,School A,Female,Grade 10,1,English,13.7,28.0,74.2,Fail,0.0
S047,School A,Female,Grade 10,1,French,16.3,43.9,74.2,Pass,0.0
S048,School A,Male,Grade 10,1,English,11.0,29.4,71.2,Fail,0.0
S048,School A,Male,Grade 10,1,French,13.0,31.1,71.2,Fail,0.0
S049,School A,Male,Grade 10,1,French,5.8,13.3,64.6,Fail,0.0
S050,School A,Male,Grade 10,1,English,16.7,42.3,89.9,Pass,0.0
S050,School A,Male,Grade 10,1,French,22.8,57.0,89.9,Pass,0.0
S051,School A,Female,Grade 10,1,English,14.6,37.4,77.5,Pass,0.0
S051,School A,Female,Grade 10,1,French,10.8,28.9,77.5,Fail,0.0
S052,School A,Male,Grade 10,1,English,10.0,26.4,75.4,Fail,0.0
S052,School A,Male,Grade 10,1,French,18.4,46.1,75.4,Pass,0.0
S053,School A,Male,Grade 10,1,English,22.6,51.3,80.3,Pass,0.0
S053,School A,Male,Grade 10,1,French,15.2,31.7,80.3,Fail,0.0
S054,School A,Female,Grade 10,1,English,22.5,50.8,80.0,Pass,0.0
S054,School A,Female,Grade 10,1,French,20.4,46.2,80.0,Pass,0.0
S055,School A,Female,Grade 10,1,English,12.5,27.0,81.8,Fail,0.0
S055,School A,Female,Grade 10,1,French,26.2,59.4,81.8,Pass,0.0
S056,School A,Female,Grade 10,1,English,10.4,30.0,72.7,Fail,0.0
S056,School A,Female,Grade 10,1,French,15.6,31.4,72.7,Fail,0.0
S057,School A,Male,Grade 10,1,English,16.3,43.5,90.7,Pass,0.0
S057,School A,Male,Grade 10,1,French,30.0,69.6,90.7,Pass,0.0
S058,School A,Male,Grade 10,1,English,18.9,43.3,81.7,Pass,0.0
S058,School A,Male,Grade 10,1,French,24.4,55.2,81.7,Pass,0.0
S059,School A,Male,Grade 10,1,English,20.4,42.7,87.1,Pass,0.0
S059,School A,Male,Grade 10,1,French,21.9,57.0,87.1,Pass,0.0
S060,School A,Female,Grade 10,1,English,13.8,30.5,85.7,Fail,0.0
S060,School A,Female,Grade 10,1,French,19.6,52.4,85.7,Pass,0.0
S061,School A,Female,Grade 10,1,English,16.5,40.6,77.0,Pass,0.0
S061,School A,Female,Grade 10,1,French,14.8,36.1,77.0,Pass,0.0
S062,School A,Female,Grade 10,1,English,14.0,32.5,74.2,Fail,0.0
S062,School A,Female,Grade 10,1,French,11.4,26.4,74.2,Fail,0.0
S063,School A,Female,Grade 10,1,English,9.8,20.0,76.0,Fail,0.0
S063,School A,Female,Grade 10,1,French,17.7,39.9,76.0,Pass,0.0
S064,School A,Male,Grade 10,1,English,24.8,55.4,87.4,Pass,0.0
S064,School A,Male,Grade 10,1,French,25.3,61.2,87.4,Pass,0.0
S065,School A,Male,Grade 10,1,English,9.8,25.7,74.8,Fail,0.0
S065,School A,Male,Grade 10,1,French,16.3,38.4,74.8,Pass,0.0
S066,School A,Male,Grade 10,1,English,13.6,29.7,68.1,Fail,0.0
S066,School A,Male,Grade 10,1,French,7.2,14.1,68.1,Fail,0.0
S067,School A,Male,Grade 10,1,English,14.8,33.4,69.5,Fail,0.0
S067,School A,Male,Grade 10,1,French,8.3,13.3,69.5,Fail,0.0
S068,School A,Male,Grade 10,1,English,13.1,29.3,73.1,Fail,0.0
S068,School A,Male,Grade 10,1,French,18.2,40.6,73.1,Pass,0.0
S069,School A,Male,Grade 10,1,English,18.3,46.4,85.1,Pass,0.0
S069,School A,Male,Grade 10,1,French,21.0,52.9,85.1,Pass,0.0
S070,School A,Female,Grade 10,1,English,19.6,43.6,78.8,Pass,0.0
S070,School A,Female,Grade 10,1,French,11.2,25.0,78.8,Fail,0.0
S071,School A,Male,Grade 10,1,English,22.6,55.1,94.8,Pass,0.0
S071,School A,Male,Grade 10,1,French,23.7,54.1,94.8,Pass,0.0
S072,School A,Male,Grade 10,1,English,10.6,31.3,80.9,Fail,0.0
S072,School A,Male,Grade 10,1,French,21.6,43.0,80.9,Pass,0.0
S073,School A,Male,Grade 10,1,English,12.1,29.5,84.6,Fail,0.0
S073,School A,Male,Grade 10,1,French,15.4,40.9,84.6,Pass,0.0
S074,School A,Male,Grade 10,1,English,16.0,40.4,76.3,Pass,0.0
